Mass to Charge State Ratio (Da), Uncorrected Count, Corrected Count, Background Count
0, 0, -5.549068, 5.549068
0.001, 0, -3.203756, 3.203756
0.002, 0, -2.481619, 2.481619
0.003, 0, -2.097351, 2.097351
0.004, 0, -1.849689, 1.849689
0.005, 0, -1.673107, 1.673107
0.006, 0, -1.539034, 1.539034
0.007, 0, -1.432763, 1.432763
0.008, 0, -1.345847, 1.345847
0.009000001, 0, -1.273044, 1.273044
0.01, 0, -1.210906, 1.210906
0.011, 0, -1.157061, 1.157061
0.012, 0, -1.109814, 1.109814
0.013, 0, -1.067919, 1.067919
0.014, 0, -1.030436, 1.030436
0.015, 0, -0.996642, 0.996642
0.016, 0, -0.9659687, 0.9659687
0.017, 0, -0.9379637, 0.9379637
0.018, 0, -0.9122611, 0.9122611
0.019, 0, -0.888562, 0.888562
0.02, 0, -0.8666188, 0.8666188
0.021, 0, -0.8462249, 0.8462249
0.022, 0, -0.8272062, 0.8272062
0.023, 0, -0.8094147, 0.8094147
0.024, 0, -0.792724, 0.792724
0.025, 0, -0.7770249, 0.7770249
0.026, 0, -0.7622231, 0.7622231
0.027, 0, -0.7482362, 0.7482362
0.028, 0, -0.734992, 0.734992
0.029, 0, -0.7224271, 0.7224271
0.03, 0, -0.7104853, 0.7104853
0.031, 0, -0.6991168, 0.6991168
0.032, 0, -0.6882772, 0.6882772
0.033, 0, -0.6779265, 0.6779265
0.034, 0, -0.6680292, 0.6680292
0.035, 0, -0.6585532, 0.6585532
0.036, 0, -0.6494693, 0.6494693
0.037, 0, -0.6407512, 0.6407512
0.038, 0, -0.6323749, 0.6323749
0.039, 0, -0.6243189, 0.6243189
0.04, 0, -0.6165631, 0.6165631
0.041, 0, -0.6090893, 0.6090893
0.042, 0, -0.6018809, 0.6018809
0.043, 0, -0.5949225, 0.5949225
0.044, 0, -0.5882, 0.5882
0.045, 0, -0.5817004, 0.5817004
0.046, 0, -0.5754116, 0.5754116
0.047, 0, -0.5693223, 0.5693223
0.048, 1, 0.4365775, 0.5634225
0.049, 2, 1.442298, 0.5577023
0.05, 0, -0.5521529, 0.5521529
0.051, 0, -0.5467659, 0.5467659
0.052, 0, -0.5415336, 0.5415336
0.053, 2, 1.463551, 0.5364487
0.054, 1, 0.4684957, 0.5315043
0.055, 3, 2.473306, 0.5266942
0.056, 1, 0.4779876, 0.5220124
0.057, 3, 2.482547, 0.5174533
0.058, 3, 2.486989, 0.5130115
0.059, 2, 1.491318, 0.5086822
0.06, 2, 1.495539, 0.5044607
0.061, 4, 3.499657, 0.5003426
0.062, 3, 2.503676, 0.4963237
0.063, 5, 4.5076, 0.4924001
0.064, 4, 3.511432, 0.4885682
0.06500001, 5, 4.515176, 0.4848243
0.066, 4, 3.518835, 0.4811652
0.067, 3, 2.522412, 0.4775877
0.068, 3, 2.525911, 0.4740888
0.06900001, 3, 2.529334, 0.4706658
0.07, 2, 1.532684, 0.4673158
0.071, 5, 4.535964, 0.4640364
0.072, 6, 5.539175, 0.460825
0.07300001, 2, 1.542321, 0.4576794
0.074, 5, 4.545403, 0.4545974
0.075, 6, 5.548423, 0.4515767
0.07600001, 7, 6.551384, 0.4486156
0.07700001, 3, 2.554288, 0.4457119
0.078, 4, 3.557136, 0.4428638
0.079, 6, 5.55993, 0.4400697
0.08000001, 6, 5.562672, 0.4373278
0.081, 4, 3.565363, 0.4346365
0.082, 9, 8.568006, 0.4319943
0.083, 11, 10.5706, 0.4293998
0.08400001, 1, 0.5731486, 0.4268514
0.085, 5, 4.575652, 0.4243478
0.086, 9, 8.578113, 0.4218878
0.087, 6, 5.58053, 0.4194701
0.08800001, 10, 9.582907, 0.4170935
0.089, 5, 4.585243, 0.4147568
0.09, 0, -0.412459, 0.412459
0.09100001, 6, 5.589801, 0.4101989
0.09200001, 2, 1.592024, 0.4079756
0.093, 4, 3.594212, 0.405788
0.094, 4, 3.596365, 0.4036353
0.09500001, 6, 5.598484, 0.4015165
0.096, 4, 3.600569, 0.3994306
0.097, 4, 3.602623, 0.397377
0.098, 7, 6.604645, 0.3953547
0.09900001, 6, 5.606637, 0.393363
0.1, 8, 7.608599, 0.3914011
0.101, 4, 3.610532, 0.3894682
0.102, 7, 6.612436, 0.3875637
0.103, 6, 5.614313, 0.3856869
0.104, 5, 4.616163, 0.383837
0.105, 6, 5.617986, 0.3820136
0.106, 3, 2.619784, 0.3802159
0.107, 7, 6.621557, 0.3784433
0.108, 5, 4.623305, 0.3766953
0.109, 8, 7.625029, 0.3749712
0.11, 4, 3.626729, 0.3732707
0.111, 6, 5.628407, 0.3715931
0.112, 9, 8.630062, 0.3699379
0.113, 6, 5.631695, 0.3683046
0.114, 2, 1.633307, 0.3666927
0.115, 3, 2.634898, 0.3651018
0.116, 5, 4.636468, 0.3635315
0.117, 3, 2.638019, 0.3619813
0.118, 6, 5.639549, 0.3604507
0.119, 2, 1.641061, 0.3589393
0.12, 5, 4.642553, 0.3574469
0.121, 5, 4.644027, 0.3559729
0.122, 4, 3.645483, 0.354517
0.123, 3, 2.646921, 0.3530787
0.124, 5, 4.648342, 0.3516579
0.125, 6, 5.649746, 0.3502541
0.126, 6, 5.651133, 0.3488669
0.127, 6, 5.652504, 0.3474961
0.128, 3, 2.653859, 0.3461413
0.129, 4, 3.655198, 0.3448023
0.13, 0, -0.3434787, 0.3434787
0.131, 8, 7.65783, 0.3421702
0.132, 7, 6.659123, 0.3408765
0.133, 4, 3.660403, 0.3395974
0.134, 3, 2.661667, 0.3383326
0.135, 4, 3.662918, 0.3370819
0.136, 6, 5.664155, 0.3358449
0.137, 4, 3.665379, 0.3346214
0.138, 2, 1.666589, 0.3334112
0.139, 3, 2.667786, 0.332214
0.14, 4, 3.66897, 0.3310296
0.141, 3, 2.670142, 0.3298579
0.142, 2, 1.671302, 0.3286984
0.143, 5, 4.672449, 0.3275511
0.144, 1, 0.6735842, 0.3264157
0.145, 4, 3.674708, 0.3252921
0.146, 3, 2.67582, 0.32418
0.147, 4, 3.676921, 0.3230792
0.148, 3, 2.67801, 0.3219896
0.149, 2, 1.679089, 0.3209109
0.15, 3, 2.680157, 0.319843
0.151, 4, 3.681214, 0.3187856
0.152, 4, 3.682261, 0.3177387
0.153, 2, 1.683298, 0.316702
0.154, 3, 2.684325, 0.3156754
0.155, 6, 5.685341, 0.3146588
0.156, 3, 2.686348, 0.3136519
0.157, 2, 1.687346, 0.3126546
0.158, 1, 0.6883333, 0.3116667
0.159, 1, 0.6893119, 0.3106881
0.16, 1, 0.6902813, 0.3097188
0.161, 3, 2.691242, 0.3087584
0.162, 1, 0.6921931, 0.3078069
0.163, 0, -0.3068641, 0.3068641
0.164, 2, 1.69407, 0.30593
0.165, 3, 2.694996, 0.3050044
0.166, 6, 5.695913, 0.304087
0.167, 3, 2.696822, 0.303178
0.168, 0, -0.302277, 0.302277
0.169, 0, -0.301384, 0.301384
0.17, 1, 0.6995012, 0.3004989
0.171, 0, -0.2996215, 0.2996215
0.172, 3, 2.701248, 0.2987518
0.173, 2, 1.70211, 0.2978896
0.174, 1, 0.7029652, 0.2970348
0.175, 2, 1.703813, 0.2961873
0.176, 1, 0.7046529, 0.2953471
0.177, 2, 1.705486, 0.2945139
0.178, 1, 0.7063122, 0.2936878
0.179, 4, 3.707131, 0.2928686
0.18, 4, 3.707944, 0.2920562
0.181, 2, 1.70875, 0.2912505
0.182, 1, 0.7095485, 0.2904515
0.183, 3, 2.710341, 0.289659
0.184, 3, 2.711127, 0.2888729
0.185, 3, 2.711907, 0.2880932
0.186, 5, 4.71268, 0.2873198
0.187, 2, 1.713447, 0.2865526
0.188, 2, 1.714208, 0.2857915
0.189, 4, 3.714963, 0.2850365
0.19, 2, 1.715713, 0.2842874
0.191, 1, 0.7164559, 0.2835441
0.192, 2, 1.717193, 0.2828067
0.193, 2, 1.717925, 0.282075
0.194, 1, 0.7186511, 0.2813489
0.195, 0, -0.2806284, 0.2806284
0.196, 2, 1.720087, 0.2799135
0.197, 1, 0.7207961, 0.2792039
0.198, 2, 1.7215, 0.2784997
0.199, 1, 0.7221991, 0.2778009
0.2, 4, 3.722893, 0.2771072
0.201, 1, 0.7235813, 0.2764187
0.202, 2, 1.724265, 0.2757354
0.203, 6, 5.724943, 0.2750571
0.204, 0, -0.2743838, 0.2743838
0.205, 1, 0.7262847, 0.2737153
0.206, 0, -0.2730518, 0.2730518
0.207, 1, 0.727607, 0.272393
0.208, 1, 0.728261, 0.271739
0.209, 1, 0.7289103, 0.2710897
0.21, 2, 1.729555, 0.270445
0.211, 2, 1.730195, 0.2698049
0.212, 3, 2.730831, 0.2691693
0.213, 1, 0.7314618, 0.2685382
0.214, 1, 0.7320884, 0.2679115
0.215, 2, 1.732711, 0.2672892
0.216, 3, 2.733329, 0.2666712
0.217, 0, -0.2660574, 0.2660574
0.218, 1, 0.7345521, 0.2654479
0.219, 1, 0.7351574, 0.2648426
0.22, 0, -0.2642413, 0.2642413
0.221, 0, -0.2636442, 0.2636442
0.222, 2, 1.736949, 0.263051
0.223, 0, -0.2624619, 0.2624619
0.224, 1, 0.7381233, 0.2618767
0.225, 1, 0.7387046, 0.2612954
0.226, 1, 0.739282, 0.260718
0.227, 2, 1.739856, 0.2601443
0.228, 0, -0.2595744, 0.2595744
0.229, 1, 0.7409917, 0.2590083
0.23, 0, -0.2584459, 0.2584459
0.231, 0, -0.2578871, 0.2578871
0.232, 0, -0.2573318, 0.2573318
0.233, 0, -0.2567802, 0.2567802
0.234, 4, 3.743768, 0.2562321
0.235, 1, 0.7443125, 0.2556875
0.236, 1, 0.7448536, 0.2551464
0.237, 2, 1.745391, 0.2546087
0.238, 0, -0.2540744, 0.2540744
0.239, 1, 0.7464566, 0.2535434
0.24, 0, -0.2530157, 0.2530157
0.241, 1, 0.7475086, 0.2524913
0.242, 0, -0.2519702, 0.2519702
0.243, 1, 0.7485477, 0.2514523
0.244, 1, 0.7490625, 0.2509375
0.245, 1, 0.7495741, 0.2504259
0.246, 1, 0.7500826, 0.2499174
0.247, 1, 0.7505879, 0.249412
0.248, 2, 1.75109, 0.2489097
0.249, 1, 0.7515896, 0.2484104
0.25, 3, 2.752086, 0.2479141
0.251, 1, 0.7525793, 0.2474207
0.252, 2, 1.75307, 0.2469303
0.253, 1, 0.7535573, 0.2464428
0.254, 0, -0.2459581, 0.2459581
0.255, 2, 1.754524, 0.2454763
0.256, 2, 1.755003, 0.2449973
0.257, 0, -0.2445211, 0.2445211
0.258, 2, 1.755952, 0.2440477
0.259, 1, 0.7564229, 0.243577
0.26, 1, 0.7568909, 0.2431091
0.261, 2, 1.757356, 0.2426438
0.262, 2, 1.757819, 0.2421812
0.263, 0, -0.2417212, 0.2417212
0.264, 2, 1.758736, 0.2412638
0.265, 0, -0.240809, 0.240809
0.266, 3, 2.759643, 0.2403568
0.267, 1, 0.7600929, 0.2399071
0.268, 1, 0.7605401, 0.2394599
0.269, 0, -0.2390153, 0.2390153
0.27, 0, -0.2385731, 0.2385731
0.271, 0, -0.2381333, 0.2381333
0.272, 1, 0.7623041, 0.2376959
0.273, 0, -0.237261, 0.237261
0.274, 2, 1.763172, 0.2368284
0.275, 3, 2.763602, 0.2363982
0.276, 0, -0.2359704, 0.2359704
0.277, 3, 2.764455, 0.2355448
0.278, 0, -0.2351215, 0.2351215
0.279, 0, -0.2347006, 0.2347006
0.28, 2, 1.765718, 0.2342818
0.281, 1, 0.7661347, 0.2338653
0.282, 0, -0.233451, 0.233451
0.283, 0, -0.2330389, 0.2330389
0.284, 0, -0.232629, 0.232629
0.285, 0, -0.2322213, 0.2322213
0.286, 0, -0.2318156, 0.2318156
0.287, 0, -0.2314121, 0.2314121
0.288, 3, 2.768989, 0.2310107
0.289, 1, 0.7693886, 0.2306114
0.29, 1, 0.7697859, 0.2302141
0.291, 0, -0.2298189, 0.2298189
0.292, 0, -0.2294257, 0.2294257
0.293, 0, -0.2290345, 0.2290345
0.294, 2, 1.771355, 0.2286454
0.295, 1, 0.7717419, 0.2282581
0.296, 0, -0.2278729, 0.2278729
0.297, 0, -0.2274896, 0.2274896
0.298, 1, 0.7728918, 0.2271082
0.299, 0, -0.2267288, 0.2267288
0.3, 2, 1.773649, 0.2263512
0.301, 1, 0.7740245, 0.2259755
0.302, 0, -0.2256017, 0.2256017
0.303, 1, 0.7747703, 0.2252297
0.304, 0, -0.2248596, 0.2248596
0.305, 0, -0.2244913, 0.2244913
0.306, 0, -0.2241247, 0.2241247
0.307, 0, -0.22376, 0.22376
0.308, 1, 0.7766029, 0.2233971
0.309, 0, -0.2230359, 0.2230359
0.31, 1, 0.7773236, 0.2226764
0.311, 0, -0.2223187, 0.2223187
0.312, 0, -0.2219627, 0.2219627
0.313, 0, -0.2216084, 0.2216084
0.314, 0, -0.2212558, 0.2212558
0.315, 1, 0.7790951, 0.2209049
0.316, 0, -0.2205556, 0.2205556
0.317, 0, -0.220208, 0.220208
0.318, 0, -0.2198621, 0.2198621
0.319, 0, -0.2195177, 0.2195177
0.32, 0, -0.219175, 0.219175
0.321, 0, -0.2188339, 0.2188339
0.322, 1, 0.7815057, 0.2184943
0.323, 0, -0.2181564, 0.2181564
0.324, 0, -0.21782, 0.21782
0.325, 1, 0.7825149, 0.2174851
0.326, 1, 0.7828482, 0.2171518
0.327, 0, -0.21682, 0.21682
0.328, 0, -0.2164898, 0.2164898
0.329, 0, -0.216161, 0.216161
0.33, 0, -0.2158337, 0.2158337
0.331, 1, 0.7844921, 0.2155079
0.332, 0, -0.2151836, 0.2151836
0.333, 0, -0.2148608, 0.2148608
0.334, 1, 0.7854607, 0.2145394
0.335, 0, -0.2142194, 0.2142194
0.336, 0, -0.2139008, 0.2139008
0.337, 0, -0.2135837, 0.2135837
0.338, 2, 1.786732, 0.213268
0.339, 1, 0.7870463, 0.2129537
0.34, 1, 0.7873592, 0.2126407
0.341, 0, -0.2123292, 0.2123292
0.342, 0, -0.212019, 0.212019
0.343, 0, -0.2117101, 0.2117101
0.344, 3, 2.788597, 0.2114027
0.345, 0, -0.2110965, 0.2110965
0.346, 0, -0.2107917, 0.2107917
0.347, 0, -0.2104881, 0.2104881
0.348, 1, 0.7898141, 0.2101859
0.349, 1, 0.790115, 0.209885
0.35, 0, -0.2095854, 0.2095854
0.351, 1, 0.790713, 0.2092871
0.352, 0, -0.20899, 0.20899
0.353, 0, -0.2086942, 0.2086942
0.354, 0, -0.2083996, 0.2083996
0.355, 0, -0.2081063, 0.2081063
0.356, 1, 0.7921858, 0.2078142
0.357, 0, -0.2075234, 0.2075234
0.358, 0, -0.2072337, 0.2072337
0.359, 0, -0.2069453, 0.2069453
0.36, 0, -0.2066581, 0.2066581
0.361, 0, -0.2063721, 0.2063721
0.362, 0, -0.2060872, 0.2060872
0.363, 0, -0.2058035, 0.2058035
0.364, 0, -0.205521, 0.205521
0.365, 0, -0.2052397, 0.2052397
0.366, 0, -0.2049595, 0.2049595
0.367, 0, -0.2046805, 0.2046805
0.368, 0, -0.2044025, 0.2044025
0.369, 0, -0.2041258, 0.2041258
0.37, 0, -0.2038501, 0.2038501
