Depth	Ga->	Depth	Mg
0.0165	1.98528E7	0.0165	9.58039E19
0.04124	2.39448E7	0.04124	3.2237E19
0.06599	2.42964E7	0.06599	3.27611E19
0.0905	2.4402E7	0.0905	3.34217E19
0.11525	2.45256E7	0.11525	3.37905E19
0.13999	2.45532E7	0.13999	3.31769E19
0.16474	2.46588E7	0.16474	3.3577E19
0.18925	2.46756E7	0.18925	3.29729E19
0.214	2.48004E7	0.214	3.22919E19
0.23874	2.53104E7	0.23874	3.2488E19
0.26325	2.48112E7	0.26325	3.14037E19
0.288	2.48616E7	0.288	3.12123E19
0.31275	2.4816E7	0.31275	3.10915E19
0.33749	2.47548E7	0.33749	3.08028E19
0.362	2.47392E7	0.362	3.14948E19
0.38675	2.48352E7	0.38675	3.12217E19
0.4115	2.47704E7	0.4115	3.07431E19
0.43601	2.49252E7	0.43601	3.05533E19
0.46075	2.48784E7	0.46075	3.00213E19
0.48527	2.47524E7	0.48527	2.97781E19
0.51001	2.475E7	0.51001	2.97765E19
0.53476	2.45964E7	0.53476	2.95286E19
0.55927	2.472E7	0.55927	2.8653E19
0.58401	2.463E7	0.58401	2.86703E19
0.60876	2.46768E7	0.60876	2.78574E19
0.63327	2.46708E7	0.63327	2.75436E19
0.65802	2.44668E7	0.65802	2.66162E19
0.68276	2.44596E7	0.68276	2.65974E19
0.70727	2.4456E7	0.70727	2.66037E19
0.73202	2.4522E7	0.73202	2.76942E19
0.75677	2.44188E7	0.75677	2.94219E19
0.78128	2.45136E7	0.78128	3.09095E19
0.80602	2.45088E7	0.80602	3.25806E19
0.83077	2.44776E7	0.83077	3.38156E19
0.85552	2.44512E7	0.85552	3.44479E19
0.88003	2.445E7	0.88003	3.46613E19
0.90478	2.44056E7	0.90478	3.45829E19
0.92952	2.43264E7	0.92952	3.52105E19
0.95403	2.42712E7	0.95403	3.50411E19
0.97878	2.43384E7	0.97878	3.46347E19
1.00352	2.43408E7	1.00352	3.48261E19
1.02804	2.43864E7	1.02804	3.49924E19
1.05278	2.44188E7	1.05278	3.56091E19
1.07753	2.43396E7	1.07753	3.52435E19
1.10227	2.44056E7	1.10227	3.58382E19
1.12678	2.43816E7	1.12678	3.6072E19
1.15153	2.43576E7	1.15153	3.63058E19
1.17628	2.43348E7	1.17628	3.65428E19
1.20102	2.43108E7	1.20102	3.67797E19
1.22553	2.42868E7	1.22553	3.70198E19
1.25028	2.42724E7	1.25028	3.74294E19
1.27479	2.42472E7	1.27479	3.80758E19
1.29954	2.42316E7	1.29954	3.90362E19
1.32428	2.42388E7	1.32428	3.89028E19
1.3488	2.43216E7	1.3488	4.01111E19
1.37354	2.42292E7	1.37354	4.07497E19
1.39829	2.38512E7	1.39829	4.21651E19
1.4228	2.38428E7	1.4228	4.33498E19
1.44755	2.41248E7	1.44755	4.46475E19
1.47229	2.41164E7	1.47229	4.66404E19
1.4968	2.4108E7	1.4968	4.95025E19
1.52155	2.40996E7	1.52155	4.81295E19
1.54629	2.40912E7	1.54629	5.08332E19
1.57081	2.40828E7	1.57081	5.28621E19
1.59555	2.40744E7	1.59555	5.64069E19
1.6203	2.4066E7	1.6203	6.03878E19
1.64504	2.40576E7	1.64504	6.28514E19
1.66956	2.40504E7	1.66956	6.61341E19
1.6943	2.4042E7	1.6943	6.94168E19
1.71905	2.40336E7	1.71905	7.60481E19
1.74356	2.40252E7	1.74356	8.15026E19
1.76831	2.40168E7	1.76831	8.67969E19
1.79305	2.40084E7	1.79305	9.26374E19
1.81756	2.4E7	1.81756	1.06145E20
1.84231	2.3856E7	1.84231	1.10187E20
1.86705	2.39136E7	1.86705	1.11121E20
1.89157	2.39268E7	1.89157	1.06583E20
1.91631	2.4006E7	1.91631	9.61523E19
1.94106	2.40336E7	1.94106	8.06474E19
1.96557	2.4072E7	1.96557	6.52507E19
1.99032	2.42256E7	1.99032	4.95402E19
2.01506	2.42016E7	2.01506	3.54852E19
2.03957	2.41884E7	2.03957	2.44492E19
2.06432	2.41488E7	2.06432	1.58549E19
2.08907	2.40876E7	2.08907	9.71472E18
2.11358	2.41608E7	2.11358	5.36969E18
2.13832	2.41404E7	2.13832	2.62679E18
2.16307	2.41392E7	2.16307	1.07959E18
2.18758	2.41428E7	2.18758	4.95857E17
2.21233	2.41788E7	2.21233	1.82023E17
2.23707	2.41788E7	2.23707	1.01996E17
2.26158	2.41764E7	2.26158	4.86442E16
2.28633	2.41944E7	2.28633	3.29525E16
2.31108	2.41332E7	2.31108	2.98142E16
2.33559	2.41692E7	2.33559	2.51067E16
2.36033	2.4012E7	2.36033	2.51067E16
2.38484	2.4126E7	2.38484	2.51067E16
2.40959	2.4168E7	2.40959	2.35375E16
2.43434	2.3862E7	2.43434	2.8245E16
2.45908	2.38608E7	2.45908	7.84584E15
2.48359	2.42112E7	2.48359	2.35375E16
2.50834	2.42052E7	2.50834	2.19683E16
2.53309	2.40888E7	2.53309	1.56917E16
2.5576	2.41644E7	2.5576	2.66758E16
2.58234	2.41692E7	2.58234	2.19683E16
2.60709	2.4108E7	2.60709	6.27667E15
2.63184	2.42232E7	2.63184	1.25533E16
2.65635	2.42232E7	2.65635	1.72608E16
2.68109	2.403E7	2.68109	1.25533E16
2.70584	2.40132E7	2.70584	7.84584E15
2.73059	2.41236E7	2.73059	2.19683E16
2.7551	2.41452E7	2.7551	1.72608E16
2.77984	2.41056E7	2.77984	7.84584E15
2.80459	2.41728E7	2.80459	1.09842E16
2.8291	2.42016E7	2.8291	1.25533E16
2.85385	2.41956E7	2.85385	1.25533E16
